WORD TO INSERT,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
in,24000,24600,300
the,25000,25900,200
country,24000,25000,500
But,24600,25400,300
it,24300,25000,300
was,24400,25200,400
not,24400,25100,300
till,26300,27300,400
the,25000,26000,200
evening,29600,30700,300
of,24300,25000,100
the,25000,25900,100
dance,26500,27400,400
at,24500,25600,300
Netherfield,25300,26100,300
that,27600,28400,300
I,23200,24100,200
had,24700,25400,400
any,23900,24700,400
apprehension,11400,12000,500
of,22200,22800,100
his,24600,25800,300
feeling,25600,26400,500
a,23200,24000,200
serious,23900,24700,500
attachment,23500,24400,300
I,23200,24000,200
had,24500,25300,400
often,28000,28800,300
seen,24000,24700,500
him,26200,27000,400
in,24100,24700,400
love,26900,27700,300
before,30100,31000,300
At,22200,22900,300
that,27400,28200,200
ball,25300,26000,200
while,26800,28100,400
I,23000,23800,200
had,25700,26600,400
the,25200,26100,100
honour,28600,29400,400
of,24400,25000,100
dancing,28700,29600,300
with,28100,28800,200
you,24900,25700,300
I,23100,23900,200
was,24400,25200,300
first,28600,29500,300
made,27200,28100,300
acquainted,26300,27100,300
by,24400,25200,100
Sir,23900,24600,300
William,30300,31400,200
Lucas,28100,29900,400
s,22200,23000,400
accidental,23900,24800,400
information,24500,25300,400
that,27600,28400,300
Bingley,30600,31400,300
s,22200,23000,300
attentions,22700,23800,400
to,23700,24400,300
your,26900,27700,400
sister,33600,35100,500
had,53400,54300,500
given,41200,42100,500
rise,28200,29200,600
to,23800,24500,300
a,23500,24200,200
general,30400,31400,400
expectation,13300,14000,700
of,22800,23400,100
their,28600,29500,300
marriage,24700,25500,500
He,23300,24200,300
spoke,26500,27400,500
of,24400,25100,100
it,24100,24800,300
as,23300,24100,300
a,23400,24100,300
certain,29100,29900,400
event,25200,25900,500
of,24400,25100,100
which,27700,28700,300
the,25100,26100,200
time,25300,26300,500
alone,24600,25400,200
could,25900,26700,300
be,24100,24800,300
undecided,29500,30300,700
From,20800,21500,200
that,27700,28500,200
moment,27000,27800,500
I,23100,23900,200
observed,25200,26100,400
my,23700,24500,300
friend,28400,29200,400
s,22200,23000,300
behaviour,26400,27300,400
attentively,28300,29400,800
and,25300,26000,100
I,23300,24100,200
could,26500,27300,400
then,25900,26800,500
perceive,24800,25700,400
that,27600,28400,200
his,25100,26000,300
partiality,20200,21000,600
for,25100,25900,200
Miss,24200,25100,400
Bennet,30800,31900,300
was,24600,25400,400
beyond,24900,25700,500
what,26600,27500,400
I,23300,24100,300
had,24700,25500,400
ever,24900,25700,500
witnessed,18200,19000,500
in,23400,24000,400
him,24600,25500,400
Your,23900,24800,300
sister,26200,27000,400
I,23300,24000,200
also,23400,24200,400
watched,14800,15600,500
Her,22300,23100,300
look,23200,24100,500
and,25100,25800,200
manners,28500,29500,500
were,25000,26000,400
open,21500,22200,400
cheerful,23000,23900,500
and,24900,25600,100
engaging,12500,13200,500
as,21200,22100,300
ever,24900,25700,400
but,24500,25300,400
without,29400,30300,300
any,24400,25200,300
symptom,4200,4700,700
of,22300,23000,100
peculiar,12900,13500,700
regard,24000,24800,400
and,25000,25700,200
I,23000,23800,200
remained,26800,27700,300
convinced,25800,26800,500
from,27400,28400,300
the,25300,26200,200
evening,29600,30500,400
s,22200,23000,300
scrutiny,30200,31100,700
that,27700,28600,200
though,29200,30200,400
she,24700,25500,300
received,25500,26400,400
his,24900,25900,300
attentions,22900,23800,400
with,28200,29000,200
pleasure,26600,27700,400
she,24700,25500,400
did,23000,23700,500
not,24700,25400,300
invite,17400,18400,400
them,26000,26900,400
by,24300,25100,200
any,24100,24900,300
participation,24100,24900,900
of,24400,25100,100
sentiment,15000,15700,600
If,21000,21600,400
you,24500,25300,400
have,27300,28400,400
not,24500,25300,300
been,28600,29300,400
mistaken,26700,27600,500
here,27000,27900,400
I,23300,24100,200
must,27100,28000,200
have,26800,27800,300
been,26600,27300,300
in,24300,25000,400
error,12700,13400,500
Your,22200,23000,300
superior,26100,27000,600
knowledge,28100,29100,400
of,24500,25200,200
your,26600,27300,300
sister,26400,27300,400
must,27600,28500,200
make,26100,27100,400
the,25300,26300,200
latter,22200,23000,500
probable,14200,14900,700
If,21000,21700,400
it,24500,25200,400
be,24200,25000,200
so,24100,24900,300
if,23200,23800,400
I,23100,23800,200
have,27400,28400,300
been,27100,27800,300
misled,30600,31500,1200
by,26000,26800,100
such,27800,28900,200
error,12700,13300,600
to,22000,22700,200
inflict,2400,2800,800
pain,17200,17800,700
on,23700,24400,200
her,24200,25000,600
your,26400,27100,400
resentment,43400,44600,500
has,25100,26100,500
not,24700,25500,200
been,27100,27800,300
unreasonable,14800,15700,500
But,23800,24600,300
I,23200,23900,200
shall,27400,28200,400
not,24700,25500,300
scruple,16100,16800,600
to,23000,23700,300
assert,16000,16700,700
that,26700,27600,300
the,25300,26200,200
serenity,2500,2900,600
of,23100,23700,100
your,26500,27200,300
sister,26500,27300,300
s,22400,23100,200
countenance,23500,24600,300
and,25200,25900,100
air,22600,23400,400
was,24500,25200,400
such,27600,28500,200
as,23500,24400,300
might,26300,27100,400
have,27300,28300,300
given,25000,25700,400
the,25000,25900,200
most,24300,25200,500
acute,29000,29900,700
observer,31000,31800,700
a,23500,24200,200
conviction,19600,20400,500
that,27800,28700,200
however,29100,29900,500
amiable,27800,28900,300
her,25800,26600,600
temper,65300,66200,500
her,24400,25200,500
heart,26700,27500,600
was,24600,25300,300
not,24700,25500,300
likely,29900,30900,400
to,24100,24800,300
be,24100,24800,300
easily,25000,25900,500
touched,18600,19300,500
That,22400,23000,300
I,23000,23800,200
was,24500,25300,300
desirous,15000,15800,700
of,23000,23600,100
believing,14400,15500,500
her,22400,23200,400
indifferent,16300,17000,600
is,23800,24600,200
certain,29000,29900,400
but,24300,25100,400
I,23300,24100,200
will,27100,27900,400
venture,29500,30500,300
to,24000,24700,200
say,24100,24900,400
that,27900,28700,200
my,23900,24600,400
investigation,24300,25100,900
and,25200,25900,200
decisions,29400,30300,800
are,25100,26000,300
not,24700,25500,300
usually,24200,25200,400
influenced,27900,28800,800
by,37400,39000,300
my,25500,26300,400
hopes,26600,27600,500
or,24400,25100,200
fears,26300,27200,400
I,23500,24300,200
did,23300,24000,400
not,24900,25700,300
believe,29900,31100,400
her,24900,25700,500
to,24000,24700,200
be,24200,24900,300
indifferent,16300,17000,600
because,25400,26400,300
I,23300,24000,200
wished,28800,29800,400
it,24500,25200,400
I,23200,24000,200
believed,22600,23700,400
it,24300,25000,300
on,24000,24700,300
impartial,16700,17700,500
conviction,19200,20000,600
as,23300,24100,300
truly,15100,15800,600
as,22400,23200,300
I,23200,24000,200
wished,28500,29400,300
it,24400,25100,300
in,24200,24800,300
reason,22500,23300,600
My,23900,24800,300
objections,3000,3500,500
to,22400,23100,300
the,25400,26200,200
marriage,25000,25900,400
were,25300,26400,400
not,24900,25700,300
merely,31600,32800,300
those,27800,28700,400
which,28400,29400,300
I,23300,24000,200
last,27800,28700,400
night,23700,24500,400
acknowledged,24600,25600,200
to,24000,24700,300
have,27700,28800,400
the,25700,26700,200
utmost,16500,17300,300
force,15300,16000,400
of,23400,24100,100
passion,9700,10300,900
to,20900,21600,300
put,20700,21600,600
aside,20400,21200,300
in,24100,24700,300
my,23800,24600,400
own,24100,24800,500
case,22200,23100,500
the,25200,26100,200
want,27800,28500,200
of,24400,25100,100
connection,16700,17400,600
could,25700,26400,300
not,24900,25700,300
be,24200,24800,200
so,24000,24900,300
great,26800,27700,400
an,23500,24300,300
evil,17400,18100,600
to,23500,24200,300
my,23700,24400,300
friend,28900,29700,400
as,23600,24400,300
to,23900,24600,200
me,23800,24700,300
But,24800,25500,300
there,36000,37600,700
were,50800,52100,400
other,32300,33300,300
causes,17300,18100,500
of,39500,40200,200
repugnance,28200,29200,900
causes,15300,16000,400
which,26800,27700,300
though,29400,30400,400
still,27900,28700,400
existing,31000,32000,1100
and,25600,26400,200
existing,100,500,500
to,24100,24800,300
an,23500,24200,300
equal,24800,25600,500
degree,24400,25300,400
in,24300,24900,300
both,23000,23700,500
instances,11600,12300,800
I,21000,21800,200
had,25000,25800,400
myself,28500,29500,400
endeavoured,12700,13400,500
to,22300,23000,300
forget,28400,29400,200
because,26600,27600,400
they,26900,27800,500
were,25100,26100,300
not,25100,25900,300
immediately,25500,26600,500
before,29700,30700,300
me,24200,25100,400
These,17000,17800,300
causes,14600,15300,500
must,26400,27300,200
be,24300,26800,300
stated,67200,68200,1600
though,28800,29800,400
briefly,13900,14600,500
The,23800,25000,100
situation,25900,26700,400
of,24600,25300,100
your,27000,27700,400
mother,29000,29900,400
s,22500,23300,300
family,26300,27300,400
though,28300,29300,300
objectionable,12100,12800,500
was,22900,23700,300
nothing,29300,30300,300
in,24200,24800,400
comparison,19700,20500,700
to,23800,24400,200
that,28100,28900,200
total,14200,14900,600
want,27100,27900,200
of,24600,25300,200
propriety,23800,24700,500
so,24000,24900,300
frequently,19600,20500,600
so,23600,24400,300
almost,30600,31500,200
uniformly,14000,14700,500
betrayed,29100,30000,1100
by,24600,25400,200
herself,30400,31500,600
by,24500,25300,200
your,26900,27600,300
three,27900,28800,500
younger,26000,26700,400
sisters,29900,30800,300
and,27300,28100,100
occasionally,50200,51300,400
even,36600,37300,500
by,24900,25700,200
your,26700,27400,300
father,29500,30400,400
Pardon,14400,15000,400
me,22200,23100,400
It,24400,25100,300
pains,29600,30500,1700
me,24000,24800,400
to,24100,24800,300
offend,25100,25900,500
you,25000,25800,300
But,24900,25700,300
amidst,8000,8500,500
your,23600,24300,300
concern,23400,24300,600
for,26000,27000,300
the,25500,26400,100
defects,25400,26300,400
of,24600,25300,100
your,27000,27800,400
nearest,31100,31900,700
relations,22300,23200,700
and,25400,26100,100
your,26800,27500,200
displeasure,14500,15300,700
at,23400,24500,300
this,28200,29100,200
representation,17500,18400,600
of,24800,25400,100
them,27000,27900,400
let,25100,25800,400
it,24600,25300,400
give,27600,28800,200
you,26700,27600,300
consolation,22000,22700,400
to,24100,24900,300
consider,29700,30600,400
that,27900,28700,200
to,24200,24900,300
have,27900,29000,400
conducted,29800,31000,1000
yourselves,27900,28900,500
so,24300,25100,300
as,23600,24500,300
to,24100,24700,200
avoid,22700,23700,300
any,24600,25400,300
share,28400,29500,400
of,24800,25400,100
the,25400,26300,200
like,27300,28100,400
censure,23100,24000,300
is,24900,25700,200
praise,26700,27800,400
no,24500,25300,300
less,26500,27500,400
generally,24600,26200,600
bestowed,13000,13700,500
on,22200,22900,300
you,25100,25900,300
and,25300,26000,100
your,26800,27500,300
elder,5800,6300,800
sister,24100,24900,400
than,26900,27600,200
it,24900,25600,300
is,24700,25500,100
honourable,15600,16500,600
to,23100,23800,200
the,25500,26400,200
sense,26500,27700,500
and,64600,65300,100
disposition,23700,24500,500
of,24900,25600,100
both,23100,23700,400
I,23500,24300,200
will,26900,27600,300
only,25400,26300,400
say,24400,25200,500
farther,13500,14100,500
that,26100,26900,200
from,27300,28200,300
what,26500,27300,300
passed,27300,28200,400
that,27500,28400,200
evening,30400,31400,400
my,24100,24900,400
opinion,30000,30900,200
of,24800,25400,100
all,24900,25600,300
parties,25500,26500,700
was,25100,25900,300
confirmed,17900,18700,700
and,24900,25500,100
every,27000,28100,500
inducement,22700,23400,500
heightened,12700,13300,700
which,26600,27400,400
could,26500,27300,300
have,28000,29000,200
led,15200,15700,600
me,23900,24700,400
before,30300,31300,300
to,24200,24900,300
preserve,30900,31700,1100
my,24100,24900,300
friend,32200,33300,400
from,28000,28800,200
what,27000,27800,300
I,23700,24500,200
esteemed,22200,23000,400
a,23700,24400,200
most,24800,25500,400
unhappy,13800,14500,700
connection,15800,16600,500
He,22100,22900,300
left,25600,26400,500
Netherfield,25800,26700,300
for,25600,26400,300
London,27900,28700,400
on,24500,25200,300
the,25400,26300,100
day,25100,25900,200
following,28700,29600,300
as,24000,24800,200
you,25300,26200,300
I,23600,24300,200
am,23900,24600,200
certain,29300,30100,300
remember,25200,26000,600
with,28300,29000,200
the,25600,26500,100
design,30000,30800,400
of,24900,25500,100
soon,27200,28100,400
returning,23100,23900,400
The,26000,26800,100
part,24600,25400,600
which,28600,29500,300
I,23500,24300,300
acted,16800,17600,400
is,24200,25100,200
now,26800,27600,400
to,24400,25100,300
be,24400,25100,200
explained,18900,20000,600
His,23800,24800,400
sisters,30800,31800,300
uneasiness,18500,19400,500
had,25300,26200,400
been,27900,28600,300
equally,29100,30300,400
excited,19700,20500,500
with,28200,29000,200
my,24200,24900,400
own,24400,25100,500
our,24600,25400,400
coincidence,26100,27200,800
of,24800,25500,200
feeling,26000,26900,500
was,25000,25800,300
soon,27700,28600,400
discovered,25700,26600,500
and,25600,26300,200
alike,12500,13300,400
sensible,26600,27600,500
that,28300,29100,300
no,24700,25500,200
time,25300,26200,400
was,24900,25700,400
to,24200,24900,200
be,24400,25100,300
lost,20100,20800,500
in,24300,24900,400
detaching,30200,31100,1300
their,29300,30300,300
brother,28700,29500,500
we,23200,24000,500
shortly,19000,20200,700
resolved,44500,45500,700
on,26900,27600,300
joining,35900,36800,600
him,25000,25800,400
directly,25700,26700,500
in,24700,25300,300
London,29000,29900,400
We,23500,24200,200
accordingly,3600,4100,600
went,13000,13600,400
and,24200,24900,200
there,28400,29400,500
I,23800,24600,300
readily,23500,24500,500
engaged,27900,28900,400
in,24500,25200,400
the,26300,27600,200
office,28700,29400,300
of,25500,26000,100
pointing,8300,8700,900
out,18500,19000,500
to,24000,24500,300
my,23900,24500,300
friend,28600,29100,400
the,25600,26300,100
certain,29200,29800,400
evils,12800,13300,700
of,22500,23000,0
such,27900,28600,200
a,23800,24300,200
choice,25700,26400,300
I,23400,24000,200
described,30100,30800,9600
and,26300,26900,200
enforced,30400,31200,7200
them,51500,52300,400
earnestly,22500,23300,400
But,41000,41700,200
however,29100,29700,500
this,28000,28700,200
remonstrance,24900,25700,1100
might,26800,27500,400
have,27500,28300,200
staggered,29400,30200,1000
or,24500,24900,100
delayed,15900,16400,500
his,23900,24600,300
determination,12300,12900,400
I,21500,22100,200
do,23500,24200,400
not,25000,25600,300
suppose,25900,26600,500
that,28200,28900,300
it,24500,25100,300
would,28100,28700,300
ultimately,27800,28600,500
have,27600,28400,300
prevented,23000,23700,400
the,25500,26200,100
marriage,24700,25400,400
had,24900,25400,300
it,24600,25100,200
not,24800,25400,300
been,27400,27900,300
seconded,30600,31400,800
by,24800,25400,100
the,25400,26200,100
assurance,20900,21600,400
that,27300,28000,200
I,25200,25900,200
hesitated,29200,29900,700
not,25000,25600,200
in,24300,24700,200
giving,29500,30100,300
of,24700,25100,0
your,26800,27300,400
sister,26700,27400,300
s,22700,23300,200
indifference,19800,20500,400
He,23000,23600,200
had,24900,25500,400
before,29500,30200,300
believed,22900,23600,500
her,24300,24900,500
to,24200,24700,200
return,27600,28300,300
his,25100,25800,100
affection,24800,25600,400
with,28200,28700,200
sincere,16600,17400,400
if,22400,23000,400
not,24900,25500,200
with,28000,28500,100
equal,24800,25500,400
regard,25500,26100,300
But,25000,25600,200
Bingley,30800,31500,200
has,25000,25600,300
great,26900,27600,400
natural,27500,28300,400
modesty,20900,21600,500
with,27700,28200,100
a,23700,24300,100
stronger,16400,16900,600
dependence,10500,11000,500
on,21400,21800,200
my,24000,24500,300
judgement,27500,28300,400
than,51100,51700,300
on,27300,27800,200
his,40300,41000,200
own,24800,25400,500
To,22900,23500,200
convince,13900,14400,600
him,23200,23800,400
therefore,28400,29200,300
that,27800,28500,100
he,24200,24800,300
had,24900,25500,200
deceived,16000,16600,400
himself,26800,27500,300
was,24800,25400,300
no,24900,25400,200
very,27100,27900,200
difficult,28100,28800,300
point,24100,24600,400
To,22900,23500,200
persuade,28300,29000,300
him,25000,25700,200
against,28300,29000,400
returning,22700,23400,400
into,26700,27300,400
Hertfordshire,22800,23600,300
when,26700,27300,200
that,27400,28000,200
conviction,19700,20300,400
had,24900,25500,300
been,26800,27300,300
given,25300,25800,300
was,24900,25500,300
scarcely,24700,25500,500
the,25400,26100,100
work,20100,20700,500
of,26400,26900,0
a,23700,24300,100
moment,27000,27600,300
I,23400,24000,100
cannot,28500,29100,300
blame,15000,15500,400
myself,26600,27400,300
for,25400,26000,200
having,26300,27200,300
done,19300,19800,400
thus,21200,21800,400
much,27200,27800,200
There,23600,24200,300
is,24900,25600,200
but,24500,25000,200
one,25100,25800,200
part,24200,24700,500
of,24600,25100,100
my,23900,24400,300
conduct,21200,21900,600
in,24200,24600,300
the,25400,26100,100
whole,26600,27300,400
affair,18400,18800,400
on,23700,24200,200
which,28100,28800,300
I,23500,24200,200
do,23700,24200,300
not,24900,25500,200
reflect,16200,16800,600
with,26900,27500,200
satisfaction,16300,16800,700
it,24000,24600,200
is,24500,25100,100
that,27700,28400,200
I,23600,24200,100
condescended,16000,16600,600
to,23600,24100,300
adopt,23300,23800,300
the,27100,28000,100
measures,22600,23300,1600
of,28900,29600,0
art,35300,35800,300
so,44900,45700,300
far,22800,23300,400
as,61100,61800,300
to,44300,44800,200
conceal,41600,42300,500
from,27300,28300,200
him,44700,45300,300
your,29900,30500,400
sister,42500,43100,300
s,22600,23100,200
being,26300,26900,400
in,24400,24900,300
town,25200,25700,500
I,23700,24300,200
knew,25500,26100,400
it,24600,25100,200
myself,28800,29600,300
as,23600,24300,200
it,24600,25200,200
was,24900,25500,300
known,28700,29300,200
to,63500,64000,200
Miss,24300,24900,300
Bingley,30700,31400,300
but,26400,26900,300
her,24500,25000,500
brother,28400,29100,400
is,24600,25200,100
even,22300,22700,400
yet,22200,22800,400
ignorant,29300,36900,500
of,25200,25600,100
it,24600,25800,200
That,22900,23400,200
they,26500,27200,400
might,26500,27100,400
have,27100,27900,300
met,22300,22900,500
without,27400,28000,300
ill,24000,24500,600
consequence,23400,24300,500
is,24500,25100,100
perhaps,30300,31000,300
probable,14300,14900,700
but,22900,23400,300
his,25100,25900,200
regard,25900,26400,400
did,23400,23900,400
not,25100,25700,200
appear,20600,21100,500
to,24000,24500,200
me,24000,24700,300
enough,29600,30300,200
extinguished,24900,25800,900
for,25600,26200,200
him,25100,25700,300
to,24100,24700,200
see,24800,25300,400
her,24300,24900,400
without,28000,28600,400
some,27900,28500,300
danger,23000,23600,300
Perhaps,27500,28200,400
this,28300,29100,200
concealment,26400,27200,1000
this,28000,28700,100
disguise,19700,20500,500
was,24500,25200,200
beneath,6300,6700,500
me,21000,21600,200
it,24500,25100,300
is,24600,25100,100
done,19300,19800,500
however,28700,29300,500
and,25600,26100,100
it,24500,25000,200
was,25000,25700,300
done,19200,19800,400
for,25300,25900,100
the,25300,26000,100
best,27000,27600,300
On,21100,21700,400
this,27700,28400,200
subject,29000,29600,400
I,23500,24100,200
have,27200,28000,300
nothing,28400,29200,400
more,26400,27200,300
to,24200,24700,200
say,24300,24900,400
no,24700,25200,200
other,29300,30000,300
apology,21200,21900,300
to,23900,24300,200
offer,24200,24700,300
If,22700,23200,300
I,23500,24100,100
have,27500,28300,300
wounded,11800,12200,400
your,24300,24800,300
sister,26200,26900,300
s,24200,24800,300
feelings,30200,31000,200
it,24600,25100,200
was,25100,25800,300
unknowingly,26100,26900,600
done,19200,19700,500
and,25300,25900,100
though,29400,30200,300
the,25500,26200,100
motives,20200,20900,600
which,28000,28800,300
governed,2900,3300,600
me,22600,23100,200
may,25500,26000,100
to,24100,24600,200
you,25200,25900,200
very,27100,27800,300
naturally,17700,18500,500
appear,20100,20500,300
insufficient,23600,24200,400
I,23500,24100,100
have,27400,28200,200
not,25100,25700,300
yet,22200,22800,300
learnt,26800,27400,400
to,24100,24600,200
condemn,3300,3600,700
them,25900,26600,300
With,24100,24800,300
respect,30100,30800,300
to,24200,24700,200
that,27500,28100,200
other,29100,29700,200
more,26600,27300,300
weighty,31100,32000,600
accusation,28000,28700,1000
of,24800,25200,0
having,27500,28200,300
injured,53500,54600,700
Mr,28000,28800,400
Wickham,19700,20400,200
I,36900,37600,200
can,24800,25300,300
only,26000,26800,300
refute,30700,31500,800
it,24700,25300,200
by,24700,25300,100
laying,21700,22400,500
before,29300,30100,300
you,25200,25800,200
the,25400,26200,100
whole,26900,27700,300
of,24800,25200,100
his,25400,26100,300
connection,17000,17600,500
with,27700,28300,200
my,24000,24600,300
family,26600,27300,300
Of,20100,20600,300
what,26800,27500,400
he,24600,25200,300
has,25200,50900,400
particularly,24100,24800,600
accused,31800,32500,700
me,24200,24800,300
I,23700,24300,200
am,24800,25400,200
ignorant,29500,30100,500
but,24700,25200,300
of,24900,25400,0
the,25600,26300,100
truth,31100,31800,300
of,61400,61900,100
what,27000,27700,300
I,23700,24300,200
shall,27500,28100,500
relate,19800,20400,500
I,23400,24000,200
can,24800,25300,200
summon,30800,31400,700
more,27100,27800,400
than,27100,27700,300
one,25400,26100,300
witness,7100,7600,600
of,21800,22200,0
undoubted,30000,30700,700
veracity,16300,17000,500
Mr,23800,24400,300
Wickham,17900,18600,200
is,24000,24700,100
the,25800,26500,100
son,14700,15100,500
of,24000,24400,0
a,24000,24500,200
very,27300,27900,200
respectable,22900,23900,400
man,25600,26000,200
who,25200,25800,300
had,25300,25800,300
for,25800,26400,100
many,26600,27600,300
years,28500,29400,300
the,25800,26500,100
management,6500,7000,700
of,21900,22300,100
all,25100,25700,300
the,25600,26400,100
Pemberley,23600,24400,400
estates,18900,19400,400
and,26900,27400,100
whose,26900,27600,300
good,28300,28900,300
conduct,21500,22200,600
in,24500,24900,300
the,25800,26500,100
discharge,30100,31000,900
of,24900,25400,0
his,25400,26100,200
trust,20000,20600,300
naturally,17600,18200,500
inclined,22200,22900,400
my,24000,24600,300
father,29200,29800,300
to,24500,25000,200
be,25000,25500,300
of,24800,25300,100
service,22400,23100,600
to,24200,24700,200
him,25200,25800,400
and,25800,26300,100
on,24500,25000,300
George,14900,15500,200
Wickham,16300,16800,200
who,23900,24400,300
was,25000,25600,300
his,25200,25900,300
godson,16200,16600,400
his,24400,25100,200
kindness,29300,30200,400
was,25100,25700,300
therefore,28900,29700,300
liberally,800,1200,700
bestowed,12900,13400,400
My,22400,23000,200
father,29000,29600,300
supported,29700,30400,1000
him,25300,25900,300
at,24900,25500,200
school,32500,33200,800
and,25900,26400,100
afterwards,26100,27000,300
at,24900,25400,200
Cambridge,29600,30400,600
most,25000,25600,400
important,21100,21600,500
assistance,26200,27000,400
as,24000,24700,200
his,25500,26300,200
own,24900,25400,400
father,28900,29500,300
always,29300,30100,200
poor,27200,27700,300
from,27700,28300,200
the,25800,26600,100
extravagance,15200,15800,300
of,23900,24400,0
his,25400,26100,200
wife,27500,28300,300
would,28700,29300,300
have,27400,28200,300
been,27300,27900,300
unable,29200,29900,400
to,24500,25000,300
give,27900,28600,100
him,25300,25900,300
a,23900,24400,200
gentleman,27300,28000,400
s,22800,23400,300
education,19600,20200,400
My,24200,24800,200
father,28900,29500,200
was,25100,25700,300
not,25200,25800,300
only,26100,26800,200
fond,33400,34100,400
of,25600,26000,100
this,28100,28900,200
young,29200,29900,300
man,25600,26100,300
s,22800,23400,200
society,25100,25900,300
whose,26500,27200,300
manners,28700,29600,400
were,25500,26300,300
always,29600,30300,100
engaging,13100,13600,500
he,22400,23000,400
had,25700,26400,400
also,24000,24600,300
the,25800,26500,100
highest,26800,27600,500
opinion,29400,30000,200
of,25000,25500,0
him,25500,26100,400
and,25800,26300,100
hoping,12400,12900,400
the,23500,24200,100
church,16400,16900,400
would,27400,28000,300
be,24700,25200,200
his,25600,26300,200
profession,19600,20200,700
intended,29000,29700,300
to,24400,24900,200
provide,17100,17700,600
for,24900,25400,100
him,25300,25900,300
in,24700,25200,300
it,25000,25500,300
As,20300,21000,300
for,25700,26200,100
myself,28800,29700,300
it,26800,27400,200
is,24800,25400,100
many,27000,27800,200
many,26600,27300,100
years,28300,29000,300
since,27700,28400,400
I,23900,24500,100
first,28500,29300,200
began,26600,27200,400
to,24500,25100,200
think,27200,27900,400
of,24800,25300,100
him,25300,25900,300
in,24700,25100,300
a,24100,24700,100
very,27500,28200,400
different,26700,27300,400
manner,30100,30900,300
The,26200,27100,100
vicious,31500,32200,600
propensities,25200,25900,700
the,25800,26500,100
want,28400,28900,200
of,25000,25400,100
principle,12100,12700,600
which,26000,26700,200
he,24600,25200,300
was,25100,25800,300
careful,20200,20900,400
to,24200,24700,200
guard,23800,24300,400
from,27800,28400,200
the,25900,26600,100
knowledge,28600,29200,300
of,25100,25500,0
his,25500,26200,300
best,28900,29500,300
friend,29200,29800,400
could,27000,27600,300
not,25200,25800,200
escape,28400,29100,300
the,26000,26800,100
observation,23000,23600,300
of,25000,25400,0
a,24000,24600,200
young,28900,29500,300
man,25400,25900,200
of,24900,25400,100
nearly,26000,26600,300
the,25800,26500,100
same,23700,24400,500
age,21800,22300,500
with,28800,29400,100
himself,28600,29300,300
and,26100,26600,100
who,25100,25700,200
had,25400,26000,300
opportunities,25100,25800,500
of,25100,25600,0
seeing,26600,27200,500
him,25400,26000,200
in,24800,25300,300
unguarded,17000,17600,400
moments,19000,19500,500
which,28100,28700,300
Mr,24600,25100,200
Darcy,26500,27300,300
could,26200,26800,300
not,25300,25900,200
have,28200,29100,300
Here,24000,24600,300
again,25600,26200,300
I,25500,26100,200
shall,27200,27800,500
give,28400,29100,200
you,25500,26100,300
pain,18500,18900,600
to,24200,24700,300
what,26800,27400,200
degree,25200,25800,300
you,25600,26200,200
only,25600,26300,200
can,25000,25500,300
tell,27400,28000,300
But,25500,26000,200
whatever,22900,23500,400
may,25900,26500,200
be,24800,25300,200
the,25700,26400,100
sentiments,22300,23000,400
which,28500,29100,200
Mr,24600,25100,200
Wickham,18100,18700,300
has,25100,25800,400
created,23800,24400,400
a,24000,24500,100
suspicion,16100,16600,600
of,23900,24300,0
their,29200,29800,200
nature,25800,26500,500
shall,27500,28100,400
not,25400,26000,200
prevent,15000,15400,600
me,22900,23400,300
from,27800,28400,300
unfolding,30100,30900,800
his,25600,26300,300
real,23000,23500,300
character,28400,29100,400
it,25100,25700,300
adds,15100,15600,300
even,20900,21300,400
another,28900,29600,200
motive,23200,23900,400
My,24700,25300,200
excellent,27900,28700,400
father,28800,29300,200
died,11700,12100,500
about,26500,27400,200
five,27500,28100,200
years,28000,28600,200
ago,16700,17200,400
and,25500,25900,0
his,25500,26100,300
attachment,23800,24500,300
to,24700,25300,200
Mr,24800,25400,300
Wickham,18200,18700,200
was,24500,25100,300
to,24400,24900,200
the,25600,26300,100
last,27900,28600,400
so,24700,25400,200
steady,26200,26800,500
that,27800,28400,200
in,24700,25200,200
his,25600,26300,200
will,26900,27400,300
he,24800,25400,400
particularly,22700,23400,500
recommended,20000,20700,500
it,24800,25300,200
to,24500,24900,200
me,24300,24900,300
to,24400,24900,200
promote,19500,20300,400
his,25300,26000,200
advancement,26400,27100,700
in,26500,27000,300
the,26100,26900,100
best,27100,27700,400
manner,29300,30100,300
that,28200,28800,200
his,25600,26300,200
profession,19800,20400,500
might,26400,26900,400
allow,23600,24200,300
and,26000,26500,100
if,23900,24400,500
he,24700,25400,300
took,23700,24300,400
orders,23200,23900,300
desired,25000,25600,400
that,28100,28700,200
a,24000,24600,100
valuable,26300,27100,300
family,27100,27900,300
living,17500,17900,600
might,26000,26600,400
be,24800,25300,200
his,25600,26300,200
as,24100,24800,200
soon,27600,28200,400
as,24300,25000,200
it,25100,25700,200
became,16400,16900,300
vacant,22500,23100,400
There,23800,24400,300
was,25600,26300,300
also,24000,24600,300
a,24100,24600,200
legacy,30700,31500,700
of,25200,25600,0
one,25400,26100,200
thousand,30200,30800,300
pounds,73900,74900,400
His,39600,40200,300
own,24800,25300,300
father,28500,29100,300
did,23800,24400,400
not,25400,26000,200
long,22000,22600,500
survive,33500,34300,700
mine,23200,23800,400
and,26100,26600,100
within,27600,28300,300
half,27000,28200,500
